Detection threshold,precision,accuracy,recall,F1_score,Nr. stars to survey,Expected pulsators,Survey ratio,Detection ratio
0.63,0.7142857142857143,0.644,0.8238636363636364,0.7651715039577837,203,145,0.812,0.8238636363636364
0.64,0.715,0.64,0.8125,0.7606382978723405,200,143,0.8,0.8125
0.65,0.7091836734693877,0.624,0.7897727272727273,0.7473118279569892,196,139,0.784,0.7897727272727273
0.66,0.7037037037037037,0.604,0.7556818181818182,0.7287671232876711,189,133,0.756,0.7556818181818182
0.67,0.7043010752688172,0.6,0.7443181818181818,0.723756906077348,186,131,0.744,0.7443181818181818
0.68,0.7111111111111111,0.6,0.7272727272727273,0.7191011235955056,180,128,0.72,0.7272727272727273
0.6900000000000001,0.7085714285714285,0.588,0.7045454545454546,0.7065527065527065,175,124,0.7,0.7045454545454546
0.7000000000000001,0.7116564417177914,0.572,0.6590909090909091,0.6843657817109144,163,116,0.652,0.6590909090909091
0.71,0.7125,0.568,0.6477272727272727,0.6785714285714285,160,114,0.64,0.6477272727272727
0.72,0.7039473684210527,0.544,0.6079545454545454,0.6524390243902439,152,107,0.608,0.6079545454545454
0.73,0.7112676056338029,0.536,0.5738636363636364,0.6352201257861636,142,101,0.568,0.5738636363636364
0.74,0.7132352941176471,0.528,0.5511363636363636,0.6217948717948718,136,97,0.544,0.5511363636363636
0.75,0.7209302325581395,0.524,0.5284090909090909,0.6098360655737705,129,93,0.516,0.5284090909090909
0.76,0.7107438016528925,0.5,0.48863636363636365,0.5791245791245792,121,86,0.484,0.48863636363636365
0.77,0.7256637168141593,0.5,0.4659090909090909,0.5674740484429066,113,82,0.452,0.4659090909090909
0.78,0.7289719626168224,0.492,0.4431818181818182,0.5512367491166078,107,78,0.428,0.4431818181818182
0.79,0.7422680412371134,0.484,0.4090909090909091,0.5274725274725275,97,72,0.388,0.4090909090909091
0.8,0.7415730337078652,0.468,0.375,0.4981132075471698,89,66,0.356,0.375
0.81,0.7317073170731707,0.448,0.3409090909090909,0.46511627906976744,82,60,0.328,0.3409090909090909
0.8200000000000001,0.75,0.44,0.3068181818181818,0.4354838709677419,72,54,0.288,0.3068181818181818
0.8300000000000001,0.7384615384615385,0.42,0.2727272727272727,0.3983402489626556,65,48,0.26,0.2727272727272727
0.84,0.6964285714285714,0.384,0.2215909090909091,0.33620689655172414,56,39,0.224,0.2215909090909091
0.85,0.7333333333333333,0.38,0.1875,0.2986425339366516,45,33,0.18,0.1875
0.86,0.7317073170731707,0.372,0.17045454545454544,0.27649769585253453,41,30,0.164,0.17045454545454544
0.87,0.7222222222222222,0.36,0.14772727272727273,0.24528301886792456,36,26,0.144,0.14772727272727273
0.88,0.7857142857142857,0.36,0.125,0.21568627450980393,28,22,0.112,0.125
0.89,0.7391304347826086,0.34,0.09659090909090909,0.1708542713567839,23,17,0.092,0.09659090909090909
0.9,0.7058823529411765,0.324,0.06818181818181818,0.1243523316062176,17,12,0.068,0.06818181818181818
0.91,0.75,0.32,0.05113636363636364,0.09574468085106383,12,9,0.048,0.05113636363636364
0.92,0.875,0.32,0.03977272727272727,0.07608695652173912,8,7,0.032,0.03977272727272727
0.93,0.8,0.308,0.022727272727272728,0.044198895027624314,5,4,0.02,0.022727272727272728
0.9400000000000001,1.0,0.308,0.017045454545454544,0.0335195530726257,3,3,0.012,0.017045454545454544
0.9500000000000001,1.0,0.304,0.011363636363636364,0.02247191011235955,2,2,0.008,0.011363636363636364
0.96,0.0,0.296,0.0,0.0,0,0,0.0,0.0
0.97,0.0,0.296,0.0,0.0,0,0,0.0,0.0
0.98,0.0,0.296,0.0,0.0,0,0,0.0,0.0
0.99,0.0,0.296,0.0,0.0,0,0,0.0,0.0
1.0,0.0,0.296,0.0,0.0,0,0,0.0,0.0
