all_times_nhist_numpeaks,all_times_nhist_peak1_bin,all_times_nhist_peak2_bin,all_times_nhist_peak3_bin,all_times_nhist_peak4_bin,all_times_nhist_peak_1_to_2,all_times_nhist_peak_1_to_3,all_times_nhist_peak_1_to_4,all_times_nhist_peak_2_to_3,all_times_nhist_peak_2_to_4,all_times_nhist_peak_3_to_4,all_times_nhist_peak_val,avg_double_to_single_step,avg_err,avgt,cad_probs_1,cad_probs_10,cad_probs_20,cad_probs_30,cad_probs_40,cad_probs_50,cad_probs_100,cad_probs_500,cad_probs_1000,cad_probs_5000,cad_probs_10000,cad_probs_50000,cad_probs_100000,cad_probs_500000,cad_probs_1000000,cad_probs_5000000,cad_probs_10000000,cads_avg,cads_med,cads_std,mean,med_double_to_single_step,med_err,n_epochs,std_double_to_single_step,std_err,total_time,amplitude,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,max_slope,maximum,median,median_absolute_deviation,minimum,percent_amplitude,percent_beyond_1_std,percent_close_to_median,percent_difference_flux_percentile,period_fast,qso_log_chi2_qsonu,qso_log_chi2nuNULL_chi2nu,skew,std,stetson_j,stetson_k,weighted_average,fold2P_slope_10percentile,fold2P_slope_90percentile,Pulsating
8.0,22.0,32.0,34.0,47.0,1.0377358490566038,1.1224489795918369,1.5277777777777777,1.0816326530612246,1.4722222222222223,1.361111111111111,0.0033734959202401,-2.55475650088036,0.0001,2458268.763378879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2549019607843137,0.411764705882353,0.8431372549019608,0.9411764705882354,0.9803921568627452,1.0,1.0,1.0,30.683447254903832,9.072849999647588,83.35256095931905,640.0800942063336,-1.0645320589433125,0.0001,52.0,261.161325584975,2.710505431213761e-20,1564.8558100000955,8.165229222481969,0.0064271250800513,0.0221962316844852,0.0459676279006389,0.0770736729459889,0.2094786231316733,10.11456840295508,645.5420387716987,640.445097234857,2.3272600417603826,629.2115803267347,31115.52845729852,0.25,0.3461538461538461,208.53289186626736,343.32071303205265,11.309242996885631,-0.2566354476824914,-0.7816484594764374,3.1650730613948084,24.98033618492438,0.9584418107598868,640.0800942063336,-804.9373315544175,734.3641810472949,1
4.0,25.0,23.0,49.0,,1.4999999999999998,2.0,,1.3333333333333337,,,0.011659460886648,1.1808494684941797,0.0001,2459100.367756942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.75,0.75,0.75,1.0,1.0,1.0,104.23104375001276,11.596005000174046,161.6916840755664,1393.6517600504822,-1.0433088808366358,0.0001,9.0,7.026670611785778,0.0,833.8483500001021,3.17228949982416,,,,,,1.3435820796235574,1396.7434735804122,1393.6220213337992,2.2582629804701355,1390.398894580764,,0.5555555555555556,0.2222222222222222,,413.615252976241,10.19322636270833,-0.7196754394647512,-0.066317682100576,2.1729858901745094,18.8566332157418,1.0416646163176737,1393.6517600504822,-8.381730836943285e-05,6.926074371442445e-05,1
7.0,9.0,16.0,26.0,43.0,1.5,1.5,1.6153846153846154,1.0,1.0769230769230769,1.0769230769230769,0.0027180328447373,49.096865307961,0.0001,2458772.911922383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.16,0.72,0.84,0.96,0.96,1.0,1.0,83.77099200002849,17.86763000069186,200.84030793463825,1798.9342785892632,0.0244472135807943,0.0001,26.0,164.09837773574958,1.3552527156068804e-20,2094.2748000007123,5.500157402402692,,,,,,1.855832221791352,1804.585084271968,1798.6155549754603,1.767627879186307,1793.5847694671627,,0.2692307692307692,0.2307692307692307,,947.6356561089196,9.38839525493164,0.509990651950837,0.2344274863546402,2.80344665314184,22.406281065991013,0.9741305973528256,1798.9342785892632,-0.0001306258097946,9.201923607399544e-05,0
9.0,10.0,46.0,49.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0259104122106272,-2.067244187190727,0.0001,2457772.870352833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.8,0.8,1.0,1.0,1.0,1.0,51.45936399986967,24.89642999973148,66.24006593322108,918.8620562472364,-1.368998912186287,0.0001,6.0,2.2764441753280567,0.0,257.2968199993484,4.4511205186902885,,,,,,28.742418370097884,922.3599039393348,919.3274460656764,2.343023305223369,913.457662901954,,0.3333333333333333,0.3333333333333333,,173.6145883936224,12.881027954720617,-0.4416384808655978,-0.5834044997630672,3.021310402014912,27.726902690842465,0.9689929188494786,918.8620562472364,-0.000110467142509,0.0001868247916953,0
7.0,23.0,26.0,19.0,3.0,1.0,1.5000000000000002,3.0000000000000004,1.5000000000000002,3.0000000000000004,2.0,0.0097443752771545,-195.97703370710065,0.0001,2460798.0253319824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.5,0.5,0.6666666666666667,0.8333333333333333,1.0,1.0,244.341203333422,63.321764999767765,303.82308231860605,-1374.1213345516571,-1.841505877986141,0.0001,7.0,337.4789620465597,1.3552527156068804e-20,1466.0472200005315,4.355304814685383,,,,,,1.0619035902942642,-1368.7214411800303,-1374.3888426216795,2.379214694673692,-1377.432050809401,,0.2857142857142857,0.1428571428571428,,673.1162626265069,9.928809809308747,-0.441719324707396,0.653280229848231,2.835690419080267,24.86694133772257,1.0204854387481903,-1374.1213345516571,-1.717432812146548e-05,2.918429974275504e-05,1
6.0,14.0,32.0,48.0,44.0,1.142857142857143,1.3333333333333333,2.285714285714286,1.1666666666666663,2.0,1.7142857142857144,0.0034335334996959,-1.063445559525657,0.0001,2458380.1800173023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1304347826086956,0.1739130434782608,0.826086956521739,0.8695652173913043,1.0,1.0,1.0,1.0,50.46781217391886,20.943529999814928,88.26126003394688,987.4828684954324,-1.1987811596511355,0.0001,24.0,15.612292872953269,0.0,1160.7596800001338,5.07098752235953,,,,,,3.6102903172943326,992.3696647735331,987.2549402234708,1.9627612405691928,982.227689728814,,0.2916666666666667,0.375,,279.16298220301445,10.341265765924446,-0.2026460773265289,-0.2045414480207818,2.7251442797148093,22.34065547081468,1.0000904545589266,987.4828684954324,-14.702864295555722,25.971049409723,1
11.0,9.0,19.0,30.0,27.0,2.21875,4.580645161290323,4.733333333333333,2.064516129032258,2.1333333333333333,1.0333333333333334,0.0023400909792586,-2.1979839102552554,0.0001,2458445.119533019,0.0,0.0,0.0153846153846153,0.0153846153846153,0.0153846153846153,0.0153846153846153,0.0153846153846153,0.0153846153846153,0.0153846153846153,0.2923076923076923,0.4307692307692308,0.7692307692307692,0.8769230769230769,1.0,1.0,1.0,1.0,28.03143153846121,10.074959999881685,40.90903818085829,-937.4648483579048,-1.1826520010015555,0.0001,66.0,13.728867860009348,2.710505431213761e-20,1822.0430499999784,7.011712168960628,,,,,,190.53749290168005,-930.7964247264932,-937.3106073236634,1.4524783051285226,-944.8198490644144,,0.2727272727272727,0.4848484848484848,,63.77916024922913,11.565971937326664,1.2749463785345638,-0.4467118216770792,2.5961819010662177,19.44149168459372,0.9355759556952242,-937.4648483579048,-7.565334940470068,4.951130524775521,1
5.0,12.0,37.0,44.0,49.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0314203694913179,-1.3903744247991128,0.0001,2457724.3729253714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,1.0,1.0,1.0,1.0,88.40690999974807,33.98603000026196,79.12812090008846,-2896.666476213497,-1.3903744247991128,0.0001,4.0,0.0,0.0,265.2207299992442,1.5374957871281367,,,,,,0.0634817930201525,-2894.8796462887767,-2896.915810351089,0.981986207630598,-2897.954637863033,,0.25,0.0,,154.5575349645945,6.572266305954789,0.2896856380972793,0.2608533039189518,1.2930818635932653,13.74922530115862,0.8838585824947344,-2896.6664762134965,38.87247734065167,64.14509047616986,0
17.0,9.0,2.0,27.0,6.0,1.148148148148148,1.24,1.2653061224489797,1.08,1.1020408163265307,1.020408163265306,0.0016552256078273,-1.884802487704178,0.0001,2458225.914652334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1568627450980392,0.3137254901960784,0.7450980392156863,0.8823529411764706,1.0,1.0,1.0,1.0,37.0746619607888,15.987470000050962,56.73539406417586,676.5907957517173,-1.305447128484348,0.0001,52.0,11.569796154028284,2.710505431213761e-20,1890.8077600002289,10.833455648760207,0.0150875482308503,0.0327149114488518,0.0612488082828667,0.1725529625575634,0.4327537135477466,15.314182170177189,688.7025177584297,676.2854739470472,2.169638676984448,667.0356064609093,4992.662426178095,0.2884615384615384,0.5,63.34751959254519,250.8367949058411,11.336834134558496,-0.5370473872041036,0.3844579972534847,3.476647168256863,25.93619762983163,0.9230811756213952,676.5907957517176,-3.69584112781146,2.6534828485805204,0
13.0,23.0,8.0,18.0,15.0,2.2,2.75,3.0,1.25,1.3636363636363638,1.0909090909090908,0.0034858744753119,-23.32798190764927,0.0001,2458579.2820118405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3142857142857143,0.7714285714285714,0.8571428571428571,0.9714285714285714,1.0,1.0,1.0,45.5352479999885,11.02273999992758,88.0770666821331,-315.59768423650644,0.0864577066201215,0.0001,36.0,100.18760512340978,1.3552527156068804e-20,1593.7336799995974,6.844665045971055,0.0395454537809469,0.0911103196078647,0.1059456946589768,0.1736335917634852,0.8121738139002032,1.4242113933097291,-306.55634303200344,-315.342608378117,1.5775772815973426,-320.24567312394555,90.33430563331704,0.2777777777777778,0.4722222222222222,41.489187900641326,93.88157869931656,10.039369342035087,-0.263153089055067,0.8871883438502973,2.6294640151478776,20.108211318472712,0.9153952757656348,-315.5976842365065,-20.22919079694401,13.195039419601132,1
