,RA_J2016_deg,DE_J2016_deg,l_J2016_deg,b_J2016_deg,SpTnum,Teff_K,eTeff_K,logg,elogg,[Fe/H],e[Fe/H],L_Lsol,eL_Lsol,R_Rsol,eR_Rsol,M_Msol,eM_Msol,muRA_masa-1,emuRA_masa-1,muDE_masa-1,emuDE_masa-1,pi_mas,epi_mas,d_pc,ed_pc,Vr_kms-1,eVr_kms-1,ruwe,U_kms-1,eU_kms-1,V_kms-1,eV_kms-1,W_kms-1,eW_kms-1,sa_m/s/a,esa_m/s/a,vsini_kms-1,evsini_kms-1,P_d,eP_d,pEWHalpha_A,epEWHalpha_A,log(LHalpha/Lbol),elog(LHalpha/Lbol),CRT_s-1,eCRT_s-1,HR1,eHR1,HR2,eHR2,Flux_X_E-13_ergcm-2s-1,eFlux_X_E-13_ergcm-2s-1,LX/LJ,eLX/LJ,FUV_mag,eFUV_mag,NUV_mag,eNUV_mag,u_mag,eu_mag,BT_mag,eBT_mag,B_mag,eB_mag,BP_mag,eBP_mag,g_mag,eg_mag,VT_mag,eVT_mag,V_mag,eV_mag,Ra_mag,r_mag,er_mag,GG_mag,eGG_mag,i_mag,ei_mag,RP_mag,eRP_mag,IN_mag,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,W1_mag,eW1_mag,W2_mag,eW2_mag,W3_mag,eW3_mag,W4_mag,eW4_mag,PlanetNum,Gaia_id_1,TIC_id
count,2212.0,2212.0,2211.0,2211.0,2212.0,1657.0,1657.0,1652.0,1652.0,1652.0,349.0,1657.0,1657.0,1647.0,1647.0,1647.0,1647.0,2212.0,2212.0,2212.0,2212.0,2183.0,2183.0,2212.0,2212.0,1639.0,1639.0,2062.0,1536.0,1495.0,1542.0,1495.0,1545.0,1495.0,2179.0,2177.0,879.0,272.0,583.0,215.0,1916.0,1155.0,96.0,96.0,684.0,672.0,614.0,614.0,551.0,551.0,715.0,694.0,713.0,692.0,317.0,317.0,840.0,840.0,1085.0,1084.0,608.0,608.0,1932.0,1932.0,2212.0,2212.0,2199.0,2199.0,653.0,653.0,1935.0,1935.0,2088.0,2198.0,2197.0,2212.0,2212.0,2193.0,2188.0,2212.0,2212.0,1966.0,2212.0,2208.0,2210.0,2210.0,2212.0,2211.0,2194.0,2193.0,2194.0,2194.0,2194.0,2194.0,2194.0,2115.0,2206.0,2212.0,2212.0
mean,174.47819122363157,25.033073458251298,141.53090913581735,10.808282248840488,2.804566003616637,3422.4960772480385,45.37960168980084,4.978553268765131,0.4105326876513321,-0.030447941888619882,0.09254727793696275,0.03291832902836447,0.0009750216216053111,0.4250158166363083,0.013289247115968407,0.42445635094110545,0.01811797207043109,0.008394693738073231,0.23475289943250932,-178.180984597391,0.21568925933052743,56.675201417557936,0.19925709169093972,22.90275794728777,0.12724266175012852,-1.837615674059691,3.017466062053679,3.252222857774005,-10.26638858072916,1.6417153712374561,-24.445940259403365,1.5205845551839483,-7.258879346278314,1.7503867625418064,0.12731561137605113,0.0051138538665263895,7.831945392491468,1.60827205882353,27.458906720663933,1.8936034341365164,-1.3281231732776597,0.18278441558441558,-4.022988541666666,0.007044791666666672,0.3022458650584794,0.049407570608541694,-0.3009609120521172,0.19042345276872952,-0.0441742286751361,0.6552268602540834,13.521566433566436,1.4403314121037463,0.005290100820250378,1.6268309248554882,21.00789905362775,0.2903028391167195,20.364717738095255,0.18567571428571447,16.400905069124416,0.011666974169741641,12.80022039473685,0.26082072368421066,13.905033643892322,0.05594461697722591,12.854106371157341,0.004539594032549725,13.352456753069559,0.036823651205093434,11.15934609494639,0.09091730474732003,12.370775193798467,0.04605271317829488,12.215040708812218,12.012371747042764,0.03709340009103353,11.486361669529838,0.0032446175406871114,10.73252207022343,0.058694789762340355,10.283812045207913,0.00460380741410483,10.170210579857581,8.689915913200732,0.028786231884058672,8.092669683257935,0.03974434389140301,7.8419430379746675,0.06714853007688804,7.66829854147675,0.04355508435932532,7.536307201458509,0.02510300820419365,7.454438012762096,0.01988742023701004,7.309170009115756,0.14652624113475185,0.03671804170444243,2.3134299966145587e+18,359319633.2255877
std,105.1753795827808,25.873700437206974,77.62460022922416,38.548381771895635,1.5711849954981294,283.8570971190335,11.216744474424567,0.3551089802202149,0.160943860546614,0.09207372195355533,0.05014279809606173,0.055558914978500434,0.00273548869356397,0.16391923629639413,0.011288993813813753,0.17298795995434824,0.011328403238909105,479.87563351707377,0.8192668044840248,475.4028790696801,0.7626662771576134,38.76429979212972,0.8661131384098212,12.1049363611296,0.6083330702157681,33.084547821402374,4.821321410957479,5.648686786202892,38.67769170719429,3.03363333930443,27.612740759191034,2.8883878929864633,21.57735097807037,3.1835972031935853,0.25544856471180194,0.013061985745120653,12.75732953706566,2.4359406738057636,35.729810014935474,4.4457699119877025,2.55810915839856,0.2571103778095436,0.43769587684163397,0.008411832140273627,2.359644779969308,0.6051220775665705,0.27720797741714026,0.11311321835599855,0.47509195143303495,1.2911253348374168,34.71569723911288,1.805043848633859,0.007663433321511077,2.059207642430177,1.0438432407677742,0.1229248114257891,1.3813866110831312,0.1273016668378845,1.2060069605729058,0.028423144459654968,0.9693454035987029,0.15365800757868237,1.5013783387304083,0.09470703026477324,1.6411174275356928,0.005281391193234548,1.599720661175911,0.044255724008891606,0.8604232959030884,0.05736324808412854,1.3976157162780605,0.08863548694889602,1.6061326966841225,1.576945890964353,0.043218771295639676,1.3296519691759285,0.001895289672758024,1.283451576827164,0.08620662039224582,1.2279985791915826,0.004165742771959671,1.055746382341393,1.053841515388672,0.2123874078449033,1.0617889524189124,0.30025115528356666,1.0392513110756694,0.6694707348936614,1.023713269841102,0.04581651055582004,1.0384033744874523,0.021990139150463123,0.962119193491669,0.005868415493958441,0.9348738337780182,0.09799117913890812,0.2841431712687489,1.567341831117968e+18,370955224.6214537
min,0.303709998046724,-32.4370367843815,0.297123592923561,-85.7814282227037,-2.0,2400.0,9.0,4.0,0.03,-0.62,0.019,0.0002622,1.343e-06,0.08632,0.00127,0.06704,0.00786,-4406.46917882733,0.008574805,-5094.22010337836,0.008855401,6.01975100156258,0.009962908,1.82823398,0.00013409,-142.041580337102,0.0004,0.64349073,-143.25911,0.00101,-200.03769,0.00074,-114.39973,0.00108,1.0974212548255923e-07,5.51972238305754e-08,0.46,0.03,0.1105850600397544,2.890601e-07,-25.4,0.001,-5.36,0.0013,0.0011,0.0,-1.0,0.0,-1.0,0.0,0.07,0.0,1.847119990730397e-05,0.003,17.442,0.04,13.389,0.003,11.326,0.001,9.357,0.019,7.506,0.0,5.9606,0.0028,8.305,0.0,7.659,0.004,7.49,0.0,7.046,7.079,0.0,5.364,0.002767,6.115,0.0,4.637,0.0038,5.81,4.1,0.011,3.64,0.015,3.254,0.0024,2.885,0.011,2.36,0.01,3.045,0.01,2.934,0.015,0.0,3179036008830848.0,707346.0
25%,79.2202638823364,5.438041030332593,80.73717621704179,-18.876011485718948,1.5,3200.0,50.0,4.6875,0.5,0.0,0.06,0.0092537,0.0001088,0.29945,0.0073950000000000005,0.29195,0.01235,-199.744389449205,0.02170217675,-313.2941123139647,0.01960085325,35.53077306081215,0.0214313585,15.45903215,0.0070942075,-19.33,0.0884418199758093,1.13184245,-34.2939925,0.033464999999999995,-38.1781,0.03147,-18.54886,0.02818,0.0176445704423965,0.0004827706907188629,2.0,0.6849999999999999,1.308749981880188,0.0041530465,-1.61625,0.03,-4.3755,0.0026,0.034172499999999995,0.0104,-0.46,0.11,-0.265,0.17,1.86,0.5725,0.0007511621639689865,0.3675,20.377,0.195,19.49725,0.084,15.632,0.007,12.202,0.146,12.901,0.02,11.7805,0.003,12.301,0.01,10.72,0.044,11.424,0.01,11.12025,10.9365,0.01,10.6436,0.0028,9.933,0.01,9.538775000000001,0.0038,9.6425,8.12575,0.021,7.508249999999999,0.021,7.283,0.018,7.09575,0.023,7.06125,0.02,6.988250000000001,0.016,6.85225,0.077,0.0,9.8192562375997e+17,144274562.5
50%,170.5925940773985,22.68003175143985,137.796626184138,12.4424355080888,3.0,3400.0,50.0,5.0,0.5,0.0,0.08,0.0216975,0.0003138,0.41987,0.012,0.419,0.0162,6.335056061509166,0.031019539999999998,-118.4442927383825,0.026263862,46.9695497829826,0.029102761,21.305819945,0.014669749999999999,-1.03589504541701,0.464198920758783,1.2880605,-11.596855,0.21168,-19.68177,0.21774,-6.76424,0.21466,0.0484096078857519,0.0013588412518238,3.0,1.4,11.511099815368652,0.2,-0.31,0.1,-3.9105,0.004,0.0753,0.0158,-0.27,0.16,-0.01,0.27,4.88,1.04,0.0033556012740603,1.315,21.126,0.278,20.511499999999998,0.1545,16.178,0.008,12.904,0.2555,13.8565,0.04,12.789100000000001,0.0033,13.261,0.03,11.334,0.082,12.321,0.03,12.186499999999999,11.9465,0.03,11.4711,0.0028,10.712,0.04,10.29635,0.0039,10.13,8.7865,0.023,8.1845,0.026,7.9365,0.021,7.7765,0.027,7.6785,0.02,7.576499999999999,0.018,7.444,0.121,0.0,2.1046249961369298e+18,285937878.0
75%,265.664079876397,44.13300355284767,191.2321634680685,42.36095278846825,4.0,3600.0,50.0,5.14,0.5,0.0,0.11,0.0458287,0.000943,0.54105,0.0163,0.547,0.02095,201.3879208847765,0.06741893,8.249505911981903,0.057627902999999994,64.85027262695215,0.062500325,28.122866934999998,0.04220414,16.718,4.0,1.7073297250000001,13.313839999999999,1.745445,-6.316135,1.445685,4.51348,2.071565,0.1356365590602594,0.0041497069639565,8.0,1.6,39.510000000000005,1.6,0.09,0.29,-3.6775,0.00725,0.182,0.0245,-0.14,0.25,0.175,0.54,12.57,1.74,0.0075300923820067,2.2649999999999997,21.794,0.396,21.3909,0.27025,16.91,0.01,13.469,0.348,14.95375,0.06,13.84205,0.0041,14.3235,0.05,11.772,0.132,13.357,0.05,13.371,13.01175,0.05,12.320775,0.0029,11.531,0.07,11.062524999999999,0.004,10.72,9.395,0.026,8.79475,0.036,8.531,0.023,8.3525,0.039,8.20425,0.021,8.08275,0.021,7.92075,0.188,0.0,3.409167017467397e+18,417373179.75
max,359.962055863497,88.4056274280499,359.808867206956,89.7179502135704,9.5,4500.0,97.0,5.5,0.5,0.42,0.32,1.88172,0.04826,0.9587,0.151,0.988,0.16,3429.08282680777,8.89,10362.3942065466,6.2,546.975939730948,17.3,166.11982784,15.38019844,137.0,29.0,44.11956,108.15802,27.08451,44.67299,14.7465,107.5175,14.98359,4.497333980711761,0.2722130921111729,190.3,26.8,163.0,44.0,0.88,5.3,-3.2835,0.04,59.3829,15.3091,1.0,0.76,1.0,9.99,472.37,23.02,0.1236400563732375,40.47,23.757,0.541,23.968,0.497,23.222,0.693,15.767,1.364,18.57,0.99,19.3529,0.1009,19.798,0.67,13.215,0.329,16.433,0.99,17.214,18.228,0.56,16.5171,0.0281,15.505,0.9,15.1143,0.0968,14.69,12.505,9.998,11.975,9.998,11.72,9.998,11.465,0.524,11.316,0.429,10.313,0.091,9.495,0.54,7.0,6.916734905368878e+18,2054009684.0
