Karmn,Name,Comp,GJ,RA_J2016_deg,DE_J2016_deg,RA_J2000,DE_J2000,l_J2016_deg,b_J2016_deg,Ref01,SpT,SpTnum,Ref02,Teff_K,eTeff_K,logg,elogg,[Fe/H],e[Fe/H],Ref03,L_Lsol,eL_Lsol,Ref04,R_Rsol,eR_Rsol,Ref05,M_Msol,eM_Msol,Ref06,muRA_masa-1,emuRA_masa-1,muDE_masa-1,emuDE_masa-1,Ref07,pi_mas,epi_mas,Ref08,d_pc,ed_pc,Ref09,Vr_kms-1,eVr_kms-1,Ref10,ruwe,Ref11,U_kms-1,eU_kms-1,V_kms-1,eV_kms-1,W_kms-1,eW_kms-1,Ref12,sa_m/s/a,esa_m/s/a,Ref13,SKG,Ref14,SKG_lit,Ref14_lit,Pop,Ref15,vsini_flag,vsini_kms-1,evsini_kms-1,Ref16,P_d,eP_d,Ref17,pEWHalpha_A,epEWHalpha_A,Ref18,log(LHalpha/Lbol),elog(LHalpha/Lbol),Ref19,1RXS,CRT_s-1,eCRT_s-1,HR1,eHR1,HR2,eHR2,Flux_X_E-13_ergcm-2s-1,eFlux_X_E-13_ergcm-2s-1,LX/LJ,eLX/LJ,Ref20,Activity,Ref21,FUV_mag,eFUV_mag,NUV_mag,eNUV_mag,Ref22,u_mag,eu_mag,Ref23,BT_mag,eBT_mag,Ref24,B_mag,eB_mag,Ref25,BP_mag,eBP_mag,Ref26,g_mag,eg_mag,Ref27,VT_mag,eVT_mag,Ref28,V_mag,eV_mag,Ref29,Ra_mag,Ref30,r_mag,er_mag,Ref31,GG_mag,eGG_mag,Ref32,i_mag,ei_mag,Ref33,RP_mag,eRP_mag,Ref34,IN_mag,Ref35,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,QFlag_2M,Ref36,W1_mag,eW1_mag,W2_mag,eW2_mag,W3_mag,eW3_mag,W4_mag,eW4_mag,QFlag_WISE,Ref37,Multiplicity,WideWDS,Widerho_arcsec,eWiderho_arcsec,Ref38,WideCompanionName,WideCompanionSpT,CloseWDS,Closerho_arcsec,eCloserho_arcsec,Ref39,CloseCompanionSpT,RV,Planet,Ref40,PlanetNum,LoRes_spectrum,HiRes_spectrum,LoRes_imaging,HiRes_imaging,Class,Survey,Notes,Gaia_id_1,2MASS_id,TIC_id,Teff_min_K,Teff_max_K,logg_min,logg_max,is_GTO,rv_file,lc_file,has_rv,has_lc
J22088+117,2MASS J22085034+1144131,-,,332.210148050453,11.7367776111028,22:08:50.34,+11:44:13.2,72.1092963648373,-34.6367426785315,EDR3,M4.5 V,4.5,AF15a,3100.0,50.0,5.5,0.5,0.0,,Cif20,0.0196732,0.0004315,Cif20,0.4863,0.0166,Karmn,0.4891,0.0208,Karmn,90.1042437715152,0.026153648,-51.5753977219965,0.029024197,EDR3,26.7466239855341,0.027007164,EDR3,37.38789615,0.03775209,EDR3,-8.92,0.75,Jeff18,1.4266043,EDR3,-10.00571,0.19013,-15.07672,0.58728,-9.52551,0.42643,Karmn,0.004305528092649,0.00028052341713244417,Wol17,LA/Cas,Karmn,,,YD,Karmn,,,,,,,,-7.21,0.08,Sche15,,,,,,,,,,,,,,,,,,,,20.482,0.111,GALEX,17.858,0.012,SDSS9,,,,16.179,0.02,UCAC4,14.8038,0.0057,EDR3,15.245,0.09,UCAC4,,,,14.542,0.06,UCAC4,14.489,UCAC3,13.983,0.01,UCAC4,13.0177,0.0029,EDR3,12.337,0.07,UCAC4,11.7418,0.0043,EDR3,11.27,US-B1,9.901,0.023,9.335,0.024,9.037,0.021,AAA,2M,8.882,0.024,8.673,0.021,8.52,0.024,8.287,0.301,AAAB,AllWISE,Single,,,,,,,,,,,,,No,,0.0,CAFOS,HRS,,(Astralux),Gamma,,,2727844441062478464,22085034+1144131,468271912,3050.0,3150.0,5.0,6.0,False,,,False,False
J22067+034,Wolf 990,-,4257,331.695278454317,3.41631737655742,22:06:46.36,+03:25:03.9,63.9899550782904,-39.9144734543591,EDR3,M4.0 V,4.0,PMSU,3200.0,50.0,4.5,0.5,0.0,,Cif20,0.0078562,0.0001247,Cif20,0.2884,0.0093,Karmn,0.2803,0.0133,Karmn,470.951667441881,0.03493141,-319.854687580661,0.027555855,EDR3,56.5892117683966,0.030666387,EDR3,17.67121274,0.00957625,EDR3,1.0,6.0,Terr15,1.2999272,EDR3,-17.50284,2.0183,-24.46508,4.13607,-37.01977,3.84968,Karmn,0.130037266534875,0.0053212991662205,Wol17,,,,,D,Karmn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.244,0.013,SDSS9,,,,15.395,0.08,UCAC4,13.8814,0.0041,EDR3,14.507,0.02,UCAC4,,,,13.774,0.04,UCAC4,13.493,UCAC3,13.17,0.03,UCAC4,12.2803,0.0029,EDR3,11.554,0.02,UCAC4,11.0564,0.0041,EDR3,10.77,US-B1,9.409,0.029,8.756,0.046,8.512,0.023,AAA,2M,8.334,0.023,8.165,0.02,8.041,0.022,7.849,0.203,AAAB,AllWISE,Single,,,,,,,,,,,,,No,,0.0,,,,(FastCam) (Astralux),Gamma,,,2683714304930755712,22064638+0325037,418915228,3150.0,3250.0,4.0,5.0,False,,,False,False
J22063+173,Ross 268,-,,331.595925831035,17.3728104860709,22:06:22.62,+17:22:20.8,76.2178173349677,-30.1536423059443,EDR3,M3.5 V,3.5,Lep13,3200.0,50.0,5.5,0.5,0.0,,Cif20,0.0115368,0.0001441,Cif20,0.3495,0.0111,Karmn,0.3447,0.0152,Karmn,361.913837398795,0.033715222,84.1080447284498,0.029225517,EDR3,56.762541415224,0.03219382,EDR3,17.61725207,0.00999192,EDR3,,,,1.4175621,EDR3,-34.3,,,,-15.1,,Lep13,0.0545389120755068,0.0017909792126189,Wol17,,,,,,,,,,,,,,-0.27,,Lep13,,,,,,,,,,,,,,,,,,,,,,,16.491,0.009,SDSS9,,,,14.705,0.01,UCAC4,13.3651,0.0037,EDR3,13.881,0.01,UCAC4,,,,13.146,0.05,UCAC4,12.955,UCAC3,12.546,0.01,UCAC4,11.8301,0.0029,EDR3,11.097,0.01,UCAC4,10.6217,0.0039,EDR3,10.11,US-B1,8.936,0.018,8.375,0.024,8.076,0.023,AAA,2M,7.91,0.023,7.782,0.02,7.657,0.019,7.433,0.132,AAAB,AllWISE,Single,,,,,,,,,,,,,No,,0.0,,,,,Gamma,,,1776179945695834368,22062259+1722206,60677589,3150.0,3250.0,5.0,6.0,False,,,False,False
J22060+393,G 189-001,-,4256,331.503172913745,39.2987646211471,22:06:00.67,+39:18:02.9,91.2523665022859,-13.1887921403852,EDR3,M3.0 V,3.0,PMSU,3300.0,50.0,5.5,0.5,0.0,,Cif20,0.016715,0.000261,Cif20,0.3955,0.0124,Karmn,0.3933,0.0165,Karmn,69.1161236008761,0.018104797,-459.052601915172,0.019756863,EDR3,49.0544161406376,0.02358052,EDR3,20.38552446,0.00979935,EDR3,-1.0,15.0,Haw96,1.3915778,EDR3,21.68292,0.31974,-9.48766,14.60097,-38.12328,3.42199,Karmn,0.1000562932025383,0.0035767947884781,Wol17,,,,,D,Karmn,,,,,,,,0.3,0.21,Gai14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.297,0.01,UCAC4,13.0008,0.0031,EDR3,13.506,0.01,UCAC4,,,,12.71,0.01,UCAC4,12.479,UCAC3,12.102,0.05,UCAC4,11.639,0.0028,EDR3,10.841,0.01,UCAC4,10.4814,0.0038,EDR3,10.08,US-B1,8.912,0.026,8.308,0.059,8.071,0.02,AAA,2M,7.939,0.023,7.806,0.02,7.701,0.018,7.492,0.111,AAAB,AllWISE,Single,,,,,,,,,,,,,No,,0.0,,,,FastCam,Gamma,,,1956328333130770048,22060067+3918027,261135533,3250.0,3350.0,5.0,6.0,False,,,False,False
J22058-119,BD-12 6174,A,4254,331.462511161648,-11.9149285238366,22:05:51.30,-11:54:51.2,46.06310596303,-48.363873686476,EDR3,M0.0 V,0.0,PMSU,3800.0,50.0,5.0,0.5,0.0,,Cif20,0.148204,0.007004,Cif20,0.8882,0.0314,Karmn,0.9132,0.0372,Karmn,-276.637482587553,0.948696139606656,-159.371541840375,0.986343293119711,DR2,38.6156607520575,0.532863049078825,DR2,25.89622916,0.35734579,DR2,16.88,0.05,Jeff18,,,42.50163,0.40146,-3.57977,0.26752,1.33763,0.30079,Karmn,0.0688136293823099,0.0019913686805813,Wol17,Cas,Cab10,Cas,Cab10,D,Karmn,=,3.3,,Jeff18,,,,0.49,0.1,Sche15,,,,,,,,,,,,,,,,,,21.863,0.302,19.019,0.049,GALEX,,,,11.704,0.089,TYC2,11.457,0.02,UCAC4,10.3384,0.0032,EDR3,10.811,0.038,APASS9,10.249,0.043,TYC2,10.119,0.02,UCAC4,9.535,UCAC3,9.54,0.041,CMC15,9.4037,0.0028,EDR3,8.85,0.01,UCAC4,8.423,0.0045,EDR3,8.77,US-B1,7.221,0.024,6.599,0.042,6.398,0.04,AAA,2M,6.277,0.086,6.1,0.026,6.174,0.019,6.045,0.058,AAAA,AllWISE,Wide,WNO57,3120,,,LP 759-025,M5.5 V,,,,,,HARPS,No,,0.0,,CAFE,,,Beta,,,2613420563766963200,22055131-1154507,50182746,3750.0,3850.0,4.5,5.5,False,,,False,False
J22057+656,G 264-018 A,A,4258,331.43562055378,65.6496950423059,22:05:45.36,+65:38:55.5,106.938858269397,8.0631428232057,EDR3,M1.5 V,1.5,PMSU,3707.0,17.0,4.86,0.11,-0.2,0.06,Marf21,0.0371788,0.0002621,Karmn,0.46747,0.00459,Karmn,0.469,0.012,Karmn,-315.372400327436,0.015678024,212.12824307819,0.015026548,EDR3,42.6087468975753,0.012859456,EDR3,23.46935953,0.00708313,EDR3,-46.894950231666,0.0230032875479238,Lafa20,1.0504849,EDR3,28.71531,0.01149,-45.63179,0.02195,32.86927,0.00918,Karmn,0.0506528715006,0.0015041725971242,Wol17,,,,,D,Karmn,<,2.0,,Rein18,,,,0.113,0.011,Sche19,,,,,,,,,,,,,,,,,,,,,,,,,,13.072,0.285,TYC2,13.157,0.02,UCAC4,11.9279,0.003,EDR3,12.377,0.0,UCAC4,11.785,0.149,TYC2,11.621,0.05,UCAC4,11.203,UCAC4,11.001,0.01,UCAC4,10.8285,0.0028,EDR3,10.023,0.01,UCAC4,9.7874,0.0038,EDR3,10.49,US-B1,8.422,0.023,7.807,0.063,7.616,0.02,AAA,2M,7.434,0.039,7.415,0.022,7.347,0.017,7.227,0.107,AAAA,AllWISE,Wide,NI44,6.80,,,G 264-018 B,M3.5 V,,,,,,CARMENES,No,,0.0,,CAFE,TCP,,Gamma,GTO,,2218502551448745088,22054536+6538555,334802883,3690.0,3724.0,4.75,4.970000000000001,True,../data/CARM_VIS_RVs/J22057+656.dat,<ambiguous>,True,True
J22051+051,Wolf 983,-,4252,331.280396044529,5.13727514331921,22:05:06.80,+05:08:11.9,65.3282359319751,-38.4801112560746,EDR3,M4.0 V,4.0,PMSU,3200.0,50.0,5.5,0.5,0.0,,Cif20,0.0166015,0.0002103,Cif20,0.4192,0.0134,Karmn,0.4183,0.0175,Karmn,458.177068181,0.025550805,141.383928377043,0.028284222,EDR3,37.2374233449596,0.02266367,EDR3,26.85470449,0.01634448,EDR3,24.0,4.0,Terr15,1.1713654,EDR3,-47.64471,1.30752,20.51676,2.84546,-40.1388,2.48901,Karmn,0.0975904985958604,0.0038410739346162,Wol17,,,,,D,Karmn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.582,0.008,SDSS9,,,,15.142,0.03,UCAC4,13.8484,0.0038,EDR3,14.287,0.01,UCAC4,,,,13.618,0.01,UCAC4,13.462,UCAC3,13.051,0.03,UCAC4,12.3378,0.0028,EDR3,11.554,0.01,UCAC4,11.1343,0.0039,EDR3,10.76,US-B1,9.518,0.022,8.936,0.023,8.68,0.019,AAA,2M,8.517,0.023,8.367,0.019,8.242,0.025,8.397,0.313,AAAB,AllWISE,Single,,,,,,,,,,,,,No,,0.0,,,,(FastCam),Gamma,,,2696230389387273088,22050682+0508120,418866358,3150.0,3250.0,5.0,6.0,False,,,False,False
J22035+036,2MASS J22033338+0340235,AB,,330.8891066923,3.67262147221332,22:03:33.38,+03:40:23.5,63.5731732709018,-39.1335956534921,EDR3,M4.0 V+,4.0,AF15a,,,,,,,,,,,,,,,,,2.71895748356966,0.11169105,-126.741390702869,0.107273154,EDR3,45.9117056764917,0.11392303,EDR3,21.78093768,0.05404614,EDR3,,,,0.9783853,EDR3,,,,,,,,0.0069759377055534,0.0003896494673143501,Wol17,,,,,,,,,,,,,,-5.6,0.8,AF15a,,,,,,,,,,,,,,,,,,,,,,,17.68,0.011,SDSS9,,,,16.033,0.088,APASS9,14.501,0.0044,EDR3,15.104,0.07,UCAC4,,,,14.307,0.017,APASS9,14.162,UCAC3,13.686,0.0,UCAC4,13.0182,0.0031,EDR3,12.033,0.03,UCAC4,11.5029,0.004,EDR3,11.0,US-B1,9.742,0.024,9.15,0.023,8.852,0.023,AAA,2M,8.66,0.023,8.485,0.02,8.315,0.023,8.229,0.292,AAAB,AllWISE,Resolved Physical,,,,,,,JNN293,412,4,Jan14,,,No,,0.0,CAFOS,,,(Astralux),Delta,,,2683961454529115264,22033338+0340235,2024776440,,,,,False,,,False,False
J22033+674,G 264-017,-,4251,330.84473578376,67.4986360849342,22:03:21.26,+67:29:59.8,107.870415492845,9.68382047348976,EDR3,M3.5 V,3.5,PMSU,3300.0,50.0,5.0,0.5,0.0,,Cif20,0.0102578,0.0001516,Cif20,0.30985,0.00966,Karmn,0.3029,0.0138,Karmn,531.310012701019,0.017082116,-296.356820801584,0.016539613,EDR3,48.641364477452,0.014635871,EDR3,20.5586338,0.00618596,EDR3,-82.0,5.0,Terr15,1.1648111,EDR3,-0.65045,1.51242,-75.53757,4.69095,-67.32773,0.84135,Karmn,0.1496126147904843,0.0048997477973721,Wol17,,,,,TD,Karmn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6542,0.0032,EDR3,13.9849,0.003837,PS1,,,,,,,13.194,UCAC3,12.752,0.086,APASS9,12.2016,0.0028,EDR3,11.345,0.039,APASS9,11.0166,0.0038,EDR3,10.51,US-B1,9.41,0.027,8.885,0.03,8.691,0.022,AAA,2M,8.514,0.023,8.319,0.02,8.229,0.019,8.376,0.18,AAAB,AllWISE,Single,,,,,,,,,,,,,No,,0.0,,,,,Gamma,,,2220012421430629632,22032128+6729596,372207328,3250.0,3350.0,4.5,5.5,False,,,False,False
J22021+014,BD+00 4810,-,846,330.54080176554,1.39899237700739,22:02:10.28,+01:24:00.8,60.9928978954298,-40.296166347548,EDR3,M0.5 V,0.5,AF15a,3882.0,12.0,4.97,0.07,0.0,0.04,Marf21,0.0641846,0.0008641,Karmn,0.56009,0.00512,Karmn,0.567,0.0133,Karmn,-452.371844934021,0.03588726,-278.725246778663,0.030810723,EDR3,94.5636665001753,0.047273144,EDR3,10.57488607,0.00528647,EDR3,18.383,0.0027,Sou18,1.1244168,EDR3,31.54561,0.00975,5.32296,0.00577,-4.89574,0.00786,Karmn,0.0688670508467966,0.0004827706907188629,Wol17,,,,,D,Karmn,<,2.0,,Rein18,29.5,0.1,DA19,0.024,0.005,Sche19,,,,,,,,,,,1.0,0.58,6.157066865136601e-05,0.06,EPIC/XMM-Newton,,,20.582,0.155,17.981,0.029,GALEX,15.508,0.01,SDSS9,11.015,0.064,TYC2,10.64,0.042,APASS9,9.3872,0.0029,EDR3,10.338,0.001,SDSS9,9.402,0.025,TYC2,9.42,0.99,UCAC4,8.224,UCAC3,8.608,0.001,SDSS9,8.4034,0.0028,EDR3,7.82,0.001,SDSS9,7.42,0.0038,EDR3,7.64,US-B1,6.196,0.023,5.562,0.051,5.322,0.023,AAA,2M,5.217,0.225,5.018,0.075,5.145,0.014,5.064,0.03,BAAA,AllWISE,Single,,,,,,,,,,,,CARMENES+HARPS+UVES+SOPHIE,No,,0.0,CAFOS,CAFE FEROS,,(FastCam) [WD15],Alpha,GTO,,2683023811628007296,22021026+0124006,292987389,3870.0,3894.0,4.8999999999999995,5.04,True,../data/CARM_VIS_RVs/J22021+014.dat,,True,False
J22020-194,LP 819-017,-,843,330.507689740783,-19.482782162135,22:02:00.79,-19:28:59.2,34.8126856333968,-50.5466804802853,EDR3,M3.5 V,3.5,PMSU,3474.0,23.0,4.85,0.07,-0.11,0.07,Marf21,0.0144112,0.0001192,Karmn,0.3314,0.0046,Karmn,0.3257,0.0106,Karmn,930.147966233581,0.066437066,74.014072461614,0.038655974,EDR3,77.440219495995,0.06559197,EDR3,12.91318654,0.01093749,EDR3,-23.601610801306,0.0250308216751787,Lafa20,0.9183986,EDR3,-58.62833,0.0403,-12.58343,0.01217,-14.96481,0.03488,Karmn,0.2497966225020272,0.01999806539743,Wol17,,,,,D,Karmn,<,2.0,,Rein18,,,,0.058,0.019,Sche19,,,,,,,,,,,,,,,,,,,,21.977,0.246,GALEX,,,,,,,13.56,0.05,UCAC4,12.2729,0.003,EDR3,12.741,0.03,UCAC4,,,,12.025,0.03,UCAC4,11.686,UCAC3,11.411,0.01,UCAC4,10.8306,0.0028,EDR3,10.042,0.07,UCAC4,9.6471,0.0038,EDR3,9.27,US-B1,8.046,0.018,7.496,0.061,7.185,0.02,AAA,2M,6.983,0.049,6.877,0.021,6.782,0.017,6.683,0.073,AAAA,AllWISE,Single,,,,,,,,,,,,CARMENES,No,,0.0,,FEROS,,,Alpha,GTO,,6823750688771587840,22020070-1928592,471012283,3451.0,3497.0,4.779999999999999,4.92,True,../data/CARM_VIS_RVs/J22020-194.dat,<ambiguous>,True,True
J22018+164,Ross 265,AB,844AB,330.456213147674,16.4681025371226,22:01:49.06,+16:28:02.7,74.5833207065085,-30.063542884035,EDR3,M2.0 V+,2.0,PMSU,,,,,,,,,,,,,,,,,391.82,2.08,156.08,2.21,HIP2,61.79,2.23,HIP2,16.18,0.58,HIP2,-15.067,0.0388,Sou18,,,,,,,,,,0.0661558729720967,0.0024766432657668,Wol17,,,,,,,=,1.4,1.0,LS10,,,,0.267,,PMSU,,,,J220151.2+162811,0.0356,0.0123,-1.0,0.22,0.0,0.0,1.07,0.37,0.0001354554682805819,0.11,1RXS*,,,20.792,0.248,19.633,0.085,GALEX,14.954,0.006,SDSS9,13.119,0.319,TYC2,12.15,0.01,UCAC4,10.9085,0.0034,EDR3,11.404,0.02,UCAC4,10.906,0.067,TYC2,10.671,0.01,UCAC4,10.176,UCAC3,10.074,0.01,UCAC4,9.9708,0.0185,EDR3,8.873,0.02,UCAC4,8.5425,0.0039,EDR3,9.01,US-B1,7.009,0.026,6.416,0.026,6.18,0.021,AAA,2M,6.134,0.095,5.889,0.039,5.915,0.015,5.784,0.04,AAAA,AllWISE,Resolved Physical,,,,,,,YSC165,356,,Hor12,,,No,,0.0,,,,(FastCam) [DSSI],Delta,,,1775651840806925312,22014901+1628027,2000626719,,,,,False,,,False,False
J22012+323,Wolf 1154,-,,330.308858005967,32.3871948556801,22:01:13.98,+32:23:12.9,86.024891583201,-18.023586460673,EDR3,M1.5 V,1.5,Lep13,,,,,,,,,,,,,,,,,118.458916009243,0.015118899,61.8235766424379,0.02440038,EDR3,32.3437750352398,0.024299672,EDR3,30.91785046,0.02322838,EDR3,,,,1.6829319,EDR3,,,,,,,,0.0132140758093636,0.0003330132627281981,Wol17,,,,,,,,,,,,,,-0.55,,Lep13,,,,,,,,,,,,,,,,,,,,21.423,0.317,GALEX,,,,13.717,0.402,TYC2,13.882,0.06,UCAC4,12.4157,0.0059,EDR3,13.001,0.07,UCAC4,12.207,0.196,TYC2,12.131,0.04,UCAC4,11.758,UCAC3,11.477,0.05,UCAC4,11.4654,0.0028,EDR3,10.495,0.06,UCAC4,10.2725,0.0079,EDR3,10.62,US-B1,8.829,0.018,8.205,0.016,7.98,0.014,AAA,2M,7.803,0.027,7.735,0.02,7.63,0.018,7.526,0.148,AAAB,AllWISE,Resolved Physical,,,,,,,,,,Cif19,,,No,,0.0,,,,,Delta,,,1899518074852685440,22011395+3223127,161925765,,,,,False,,,False,False
J22012+283,V374 Peg,-,4247,330.306566078579,28.3071089204045,22:01:13.12,+28:18:24.9,83.2554634791666,-21.1608253956841,EDR3,M4.0 V,4.0,PMSU,3195.0,29.0,5.0,0.16,0.03,0.11,Marf21,0.0098667,5.532e-05,Karmn,0.32419,0.00596,Karmn,0.318,0.0113,Karmn,372.797304742305,0.02773004,42.7971464174591,0.025431445,EDR3,109.854764457283,0.025859196,EDR3,9.1029279,0.00214278,EDR3,-3.25501055680864,0.139030998489302,Lafa20,1.1674854,EDR3,-14.12347,0.01556,-4.64732,0.12876,-7.19218,0.05025,Karmn,0.0289098115495294,0.0008913598999546609,Wol17,Cas,Karmn,,,YD,Karmn,=,36.9,0.7,Fou18,0.445971,1.4636409e-05,Rev20,-4.47,0.04,Sche19,-3.733,0.004,Sche19,J220112.9+281832,0.399,0.0287,-0.22,0.06,-0.04,0.11,28.5,2.05,0.0063540927222388,0.88,1RXS,RV-loud,Tal18,18.449,0.075,17.354,0.029,GALEX,15.657,0.008,SDSS9,13.857,0.51,TYC2,13.68,0.07,UCAC4,12.2698,0.0044,EDR3,12.78,0.04,UCAC4,11.72,0.162,TYC2,12.005,0.05,UCAC4,11.593,UCAC4,11.398,0.03,UCAC4,10.6348,0.0028,EDR3,9.816,0.07,UCAC4,9.396,0.0043,EDR3,9.83,US-B1,7.635,0.026,7.035,0.031,6.777,0.021,AAA,2M,6.608,0.065,6.412,0.023,6.33,0.015,6.255,0.057,AAAA,AllWISE,Single,,,,,,,,,,,,CARMENES+UVES,No,,0.0,,CAFE FEROS,,FastCam [WD15],Alpha-,GTO,,1893189736896880640,22011310+2818248,283410775,3166.0,3224.0,4.84,5.16,True,../data/CARM_VIS_RVs/J22012+283.dat,../data/CARMENES_GTO_TESS_lc/lightcurves/J22012+283/J22012+283_TESS_TIC283410775_S15.fits,True,True
J21593+418,G 215-030,-,4246,329.84200557556,41.8570493695783,21:59:21.92,+41:51:31.9,91.8273581352985,-10.3925343447898,EDR3,M3.0 V,3.0,PMSU,3400.0,50.0,4.5,0.5,0.0,,Cif20,0.0163373,0.0003469,Cif20,0.3684,0.0115,Karmn,0.3647,0.0156,Karmn,109.84569316011,0.0181724,-408.768036360524,0.020122075,EDR3,48.6132604047398,0.021248884,EDR3,20.57051907,0.00899139,EDR3,-26.9,15.0,Haw96,1.3891071,EDR3,17.23321,0.47081,-32.77439,14.7465,-32.49719,2.70545,Karmn,0.0862532375355841,0.002660907013254,Wol17,,,,,D,Karmn,,,,,77.99,,Hart11,0.26,0.26,Gai14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.307,0.05,UCAC4,12.9878,0.003,EDR3,13.525,0.06,UCAC4,,,,12.687,0.09,UCAC4,12.52,UCAC3,12.127,0.01,UCAC4,11.6472,0.0028,EDR3,10.881,0.15,UCAC4,10.4982,0.0038,EDR3,10.17,US-B1,8.982,0.02,8.384,0.017,8.156,0.017,AAA,2M,7.989,0.023,7.859,0.02,7.75,0.02,7.559,0.154,AAAB,AllWISE,Single,,,,,,,,,,,,,No,,0.0,,,,FastCam,Gamma,,,1959969434607205504,21592192+4151326,84316376,3350.0,3450.0,4.0,5.0,False,,,False,False
J21585+612,LSPM J2158+6117,-,,329.651725710796,61.2854911845799,21:58:34.62,+61:17:06.0,103.649584291904,5.06283831184486,EDR3,M6.0 V,6.0,Lep03,,,,,,,,,,,,,,,,,807.952233879679,0.032347694,110.732070803786,0.02962357,EDR3,53.6618277313838,0.026736217,EDR3,18.63522065,0.00928472,EDR3,,,,1.0866711,EDR3,,,,,,,,0.2522943450621272,0.0097000292131847,Wol17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.103,0.0048,EDR3,17.442,0.003,PS1,,,,,,,16.712,UCAC3,16.19,0.001,PS1,14.7486,0.0029,EDR3,14.064,0.001,PS1,13.3679,0.0039,EDR3,13.14,US-B1,11.292,0.027,10.785,0.031,10.447,0.019,AAA,2M,10.251,0.023,10.013,0.02,9.752,0.046,8.826,,AAAU,AllWISE,Single,,,,,,,,,,,,,No,,0.0,,,,,Gamma,,,2204001126955518592,21583457+6117060,412650616,,,,,False,,,False,False
J21584+755,GJ 842.2,-,842.2,329.60627818738,75.5891582863551,21:58:24.52,+75:35:20.6,112.69863914756,16.2790245737989,EDR3,M0.5 V,0.5,PMSU,3600.0,50.0,5.0,0.5,0.0,,Cif20,0.078451,0.002028,Cif20,0.72,0.0221,Karmn,0.7358,0.0274,Karmn,231.353806324593,0.014028227,22.5783463547328,0.0123361265,EDR3,45.6642141074459,0.009962908,EDR3,21.89898632,0.00477787,EDR3,-17.525,0.0039,Sou18,0.9617328,EDR3,-13.44754,0.00454,-19.77238,0.00358,-17.82306,0.00364,Karmn,0.0270001170734571,0.00014890348158179138,Wol17,LA,Karmn,,,YD,Karmn,<,4.0,,Rein12,,,,0.44,0.1,Sche15,,,,,,,,,,,,,,,,,,,,19.399,0.088,GALEX,,,,12.483,0.167,TYC2,11.77,0.0,APASS9,10.7931,0.003,EDR3,11.651,0.002,PS1,10.662,0.045,TYC2,10.535,0.033,APASS9,10.126,UCAC3,10.381,0.069,PS1,9.8049,0.0028,EDR3,9.045,0.12,PS1,8.8234,0.0039,EDR3,8.8,US-B1,7.601,0.034,6.926,0.038,6.73,0.016,AAA,2M,6.641,0.063,6.602,0.023,6.559,0.015,6.462,0.05,AAAA,AllWISE,Single,,,,,,,,,,,,,No,,0.0,,CAFE,,(FastCam),Gamma,,,2280191304155597184,21582450+7535206,366380782,3550.0,3650.0,4.5,5.5,False,,,False,False
J21574+081,Wolf 953,-,4241,329.36098703371,8.13764621566758,21:57:26.23,+08:08:13.9,66.5722617229654,-35.0677636940019,EDR3,M1.5 V,1.5,PMSU,3700.0,50.0,4.5,0.5,0.0,,Cif20,0.055681,0.001898,Cif20,0.5743,0.0183,Karmn,0.582,0.023,Karmn,373.798786984785,0.02313995,100.008207090103,0.020036316,EDR3,47.7227297787332,0.023664718,EDR3,20.95437551,0.01039084,EDR3,-26.57,0.16,Jeff18,1.095068,EDR3,-42.90653,0.05412,-18.38501,0.12023,-2.09014,0.09267,Karmn,0.0724068625664763,0.0011282635956399,Wol17,HS,Karmn,,,YD,Karmn,<,3.0,,Jeff18,,,,0.38,0.05,Sche15,,,,J215725.7+080819,0.0348,0.0134,-0.77,0.35,-1.0,1.36,1.47,0.57,0.0003571098625808573,0.34,1RXS,,,21.649,0.387,19.882,0.103,GALEX,15.334,0.008,SDSS9,12.197,0.181,TYC2,12.433,0.011,APASS9,11.2556,0.0033,EDR3,11.693,0.018,APASS9,10.914,0.08,TYC2,11.054,0.01,APASS9,10.631,UCAC3,10.489,0.032,APASS9,10.1358,0.0028,EDR3,9.604,0.0,APASS9,9.08,0.0039,EDR3,9.62,US-B1,7.723,0.026,7.117,0.038,6.845,0.018,AAA,2M,6.76,0.068,6.683,0.022,6.654,0.016,6.492,0.068,AAAA,AllWISE,Single,,,,,,,,,,,,,No,,0.0,,CAFE FEROS,,(FastCam),Beta,,,2724890053318383232,21572624+0808139,396821545,3650.0,3750.0,4.0,5.0,False,,,False,False
